Source,Destination,Redirect type,ModifiedDate
/id/xenplatform/transfers,https://docs.xendit.co/docs/id/transfer-balances,endswith,20 Jul 2025,
/id/xenplatform/platform-fee,https://docs.xendit.co/docs/id/xenplatform-fees,endswith,20 Jul 2025,
/id/xenplatform/accept-payments,https://docs.xendit.co/docs/id/accepting-payments-for-sub-accounts,endswith,20 Jul 2025,
/id/xenplatform/accounts/managed,https://docs.xendit.co/docs/id/account-types,endswith,20 Jul 2025,
/id/xenplatform/accounts/owned,https://docs.xendit.co/docs/id/account-types,endswith,20 Jul 2025,
/id/xenplatform/accounts,https://docs.xendit.co/docs/id/account-types,endswith,20 Jul 2025,
/id/xenplatform/overview,https://docs.xendit.co/docs/id/xenplatform-overview,endswith,20 Jul 2025,
/id/xenplatform,https://docs.xendit.co/docs/id/xenplatform-overview,endswith,20 Jul 2025,
/id/reports/auto-withdrawal,https://docs.xendit.co/docs/id/auto-withdrawal-report,endswith,20 Jul 2025,
/id/reports/schedule,https://docs.xendit.co/docs/id/reporting-schedules,endswith,20 Jul 2025,
/id/reports/transaction,https://docs.xendit.co/docs/id/transactions-report,endswith,20 Jul 2025,
/id/reports/balance-report,https://docs.xendit.co/docs/id/reports-overview,endswith,20 Jul 2025,
/id/reports,https://docs.xendit.co/docs/id/reports-overview,endswith,20 Jul 2025,
/id/reports/balance,https://docs.xendit.co/docs/id/balance-overview,endswith,20 Jul 2025,
/id/early-settlement/activation,https://docs.xendit.co/docs/id/early-settlement,endswith,18 Jul 2025,
/id/early-settlement/pricing-billing-limits,https://docs.xendit.co/docs/id/early-settlement,endswith,18 Jul 2025,
/id/early-settlement/channels,https://docs.xendit.co/docs/id/early-settlement,endswith,18 Jul 2025,
/id/early-settlement,https://docs.xendit.co/docs/id/early-settlement,endswith,18 Jul 2025,
/id/settlement,https://docs.xendit.co/docs/id/settlements,endswith,18 Jul 2025,
/id/integrations/magento-m2/refund-transaction-on-magento-m2,https://docs.xendit.co/docs/id/magento,endswith,18 Jul 2025,
/id/integrations/magento-m2/how-to-integrate-with-magento,https://docs.xendit.co/docs/id/magento,endswith,18 Jul 2025,
/id/integrations/magento-m2/magento-payment-flow,https://docs.xendit.co/docs/id/magento,endswith,18 Jul 2025,
/id/integrations/magento-m2,https://docs.xendit.co/docs/id/magento,endswith,18 Jul 2025,
/id/integrations/wix/how-to-integrate-with-wix,https://docs.xendit.co/docs/id/wix,endswith,18 Jul 2025,
/id/integrations/wix/wix-payment-flow,https://docs.xendit.co/docs/id/wix,endswith,18 Jul 2025,
/id/integrations/wix/features,https://docs.xendit.co/docs/id/wix,endswith,18 Jul 2025,
/id/integrations/wix,https://docs.xendit.co/docs/id/wix,endswith,18 Jul 2025,
/id/integrations/shopify/customization,https://docs.xendit.co/docs/id/shopify,endswith,18 Jul 2025,
